Table 1
;;;;;;;;;;
Індекси сільськогосподарської продукції 1;;;;;;;;;;
Indices of agricultural production1;;;;;;;;;;
;;;;;;;;;;
"(у постійних цінах 2021р.; % до попереднього року /";;;;;;;;;;
"in 2021 prices; in % to the previous year)";;;;;;;;;;
"Роки / 
Years";"Господарства усіх категорій /
 All agricultural holdings";;;У тому числі / Including;;;;;;
;;;;"підприємства /
enterprises";;;"господарства населення /
 households";;;
;"продукція сільського господарства /
agricultural production ";з неї / of which;;"продукція сільського господарства /
agricultural production ";з неї / of which;;"продукція сільського господарства /
agricultural production ";з неї / of which;;
;;"продукція рослинництва /
crop production ";"продукція тваринництва / 
animal production ";;"продукція рослинництва /
crop production ";"продукція тваринництва / 
animal production ";;"продукція рослинництва /
crop production ";"продукція тваринництва / 
animal production ";
2010;98,6;96,5;104,4;97,5;94,8;110,0;100,1;99,5;100,9;
2011;120,2;128,3;99,5;128,1;134,1;104,2;110,0;118,6;96,5;
2012;96,1;93,4;105,0;94,0;91,3;108,3;99,2;97,4;102,6;
2013;113,6;117,0;103,8;120,3;123,1;108,4;104,0;106,0;100,2;
2014;102,2;103,0;99,5;103,8;103,9;103,3;99,6;101,3;96,3;
2015;95,2;94,8;96,4;94,9;94,5;96,5;95,8;95,5;96,3;
2016;106,3;109,0;97,2;109,6;112,1;97,4;100,7;102,5;97,1;
2017;97,8;97,1;100,3;97,0;96,3;101,0;99,3;99,1;99,6;
2018;108,2;110,1;101,2;111,9;113,3;104,5;101,5;103,1;98,2;
2019;101,4;101,7;100,1;102,6;102,4;103,7;99,0;100,1;96,6;
2020;89,9;88,0;97,6;88,0;86,0;99,5;93,8;93,0;95,7;
2021;116,4;122,3;95,1;122,2;127,3;97,8;105,1;110,8;92,3;
2022 2;74,7;71,8;88,2;72,1;69,0;92,0;80,5;79,2;83,9;
2023 2;111,1;113,9;100,4;116,4;118,8;105,0;100,2;102,4;94,8;
1Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. / Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.;;;;;;;;;;
2  Дані за 2022-2023 рік наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. Дані можуть бути уточнені. / Data for 2022-2023 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted. Data may be revised.;;;;;;;;;;
