Кількість діючих суб’єктів господарювання за видами економічної діяльності  у розрізі регіонів у 2014-2023 роках;;;;;;;;;;;;;;;;;;;;;;;;
Number of activе business entities by type of economic activity in regions in 2014-2023;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;"Код за КВЕД–2010/
Code NACE, Rev.2";Регіон;Кількість діючих суб'єктів господарювання/ Number of activе business entities;;;;;;;;;;;;;;;;;;;;Region;
;;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;;
;;;"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";"усього, одиниць/
total, units";"з них 
фізичних осіб-підприємців, одиниць/ including
individual entrepreneurs, 
units";;
Усього;;Україна;1932161;1591160;1974318;1630878;1865530;1559161;1805059;1466803;1839593;1483716;1941625;1561028;1973577;1599755;1956248;1585414;1732508;1470584;1913193;1605341;Ukraine;Total
;;Вінницька область;77314;67983;80982;71540;75005;66360;68931;59744;68649;58936;70239;59944;69980;60118;68102;58052;65869;57835;73106;63844;Vinnytsya;
;;Волинська область;48168;42652;49273;43673;47063;42022;42157;36560;39248;33331;41138;34846;41711;35664;41089;34809;40601;35399;45974;39999;Volyn;
;;Дніпропетровська область;149741;123513;158775;131524;151425;125841;142141;114249;140372;111253;148497;117306;153229;122402;153260;122749;143055;118499;160478;132750;Dnipropetrovsk;
;;Донецька область;81537;70171;69350;57587;63694;53211;60894;50444;62166;52435;65137;54838;65341;55868;61751;52549;29846;26878;28845;25571;Donetsk;
;;Житомирська область;58451;51864;58647;52040;54201;48271;49800;43309;49366;42453;51002;43696;51245;44185;50419;43391;47797;42389;52588;46245;Zhytomyr;
;;Закарпатська область;57495;51424;59798;53687;56328;51270;51972;46184;51244;44820;50608;44220;49923;43268;47946;41374;45447;40548;48761;43074;Zakarpattya;
;;Запорізька область;90969;76486;94405;79982;87119;73645;77621;63045;74380;59387;76716;61064;78136;62768;76176;60813;48945;40998;51204;41636;Zaporizhzhya;
;;Івано - Франківська область;54818;46873;55499;47557;50647;43764;49806;42167;52595;44293;55031;46436;55477;47353;55196;47403;54282;48228;60421;53342;Ivano-Frankivsk;
;;Київська область;94445;76572;98586;80422;97923;80093;96026;76687;101203;81149;109192;88115;111783;91463;113452;93190;108241;93580;124761;106752;Kyiv;
;;Кіровоградська область;40385;32740;41953;34269;38849;31644;36447;28712;36486;28418;38138;29383;38319;29766;37186;28839;35621;28535;39725;32032;Kirovograd;
;;Луганська область;24425;21192;21320;17966;21589;18063;21296;17888;21849;18400;22556;18824;22424;19016;21091;17735;5502;5169;4282;3260;Luhansk;
;;Львівська область;117732;99150;120442;101814;114674;99088;110948;93015;115553;96320;124363;103883;128597;107686;132740;111554;133117;116391;149350;129565;Lviv;
;;Миколаївська область;57368;46919;58065;47496;55256;45205;54190;43389;54882;43448;56309;44031;55869;44387;54388;42907;43830;36836;49324;40764;Mykolayiv;
;;Одеська область;131247;107308;132838;108955;125943;104939;127773;103750;131592;106888;137609;111738;138750;113285;132857;108895;117451;100386;128752;108295;Odesa;
;;Полтавська область;64466;54468;65865;55723;61289;52300;60654;50466;61157;50199;64686;53247;66529;55425;65364;54110;60514;51435;67411;57185;Poltava;
;;Рівненська область;41947;36758;43240;37987;40006;35309;38111;32831;39597;34052;41741;35785;43826;37805;43519;37356;42857;37822;47982;42250;Rivne;
;;Сумська область;45094;39275;45708;39866;41569;36282;39779;34074;40415;34466;41675;35453;42326;36230;41739;35607;38695;33779;41630;36306;Sumy;
;;Тернопільська область;43553;38394;44704;39608;40365;36116;36013;31303;36908;31865;37821;32729;38627;33492;38225;33089;37908;33787;41357;36570;Ternopil;
;;Харківська область;167176;142356;171356;146418;158460;138025;153467;130870;154002;130209;162794;137743;166855;141711;167691;141883;141726;125709;150589;131806;Kharkiv ;
;;Херсонська область;51372;43212;50190;42182;47411;40240;45698;37591;44379;36161;45996;37485;45244;37128;42877;35066;15318;13644;15964;13331;Kherson;
;;Хмельницька область;64822;57854;66168;59176;58973;52745;58318;51364;61252;53821;63402;55538;63880;56226;61907;54209;60661;54463;67226;60147;Khmelnytskiy;
