Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Ukraine,UKR,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.3680330656755
Ukraine,UKR,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.3604118357035
Ukraine,UKR,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.4247284648502
Ukraine,UKR,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.0657570908374
Ukraine,UKR,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.5618292833296
Ukraine,UKR,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.1765205679743
Ukraine,UKR,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.5935192993355
Ukraine,UKR,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.1440444568069
Ukraine,UKR,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.1350621418485
Ukraine,UKR,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.4083968652385
Ukraine,UKR,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.3318853819343
Ukraine,UKR,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.0874350736346
Ukraine,UKR,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.4637188774202
Ukraine,UKR,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.9808670400728
Ukraine,UKR,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.8062775927572
Ukraine,UKR,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.8718974404003
Ukraine,UKR,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.1760896597817
Ukraine,UKR,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.1143114024686
Ukraine,UKR,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.1896337162849
Ukraine,UKR,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.0912889043027
Ukraine,UKR,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.9306462144183
Ukraine,UKR,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.6114438920637
Ukraine,UKR,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.3383093642713
Ukraine,UKR,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.4501322538154
Ukraine,UKR,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.3611886754266
Ukraine,UKR,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.8375719435049
Ukraine,UKR,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.4980617126332
Ukraine,UKR,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.0183473153498
Ukraine,UKR,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.76482767577181
Ukraine,UKR,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.61282295833744
Ukraine,UKR,2023,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.8372835903301
Ukraine,UKR,2022,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,16.7996245893947
Ukraine,UKR,2021,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.5256588072122
Ukraine,UKR,2020,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.4948047294876
Ukraine,UKR,2019,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.6442888959593
Ukraine,UKR,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.9793103448276
Ukraine,UKR,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.6379465625938
Ukraine,UKR,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.4221088719793
Ukraine,UKR,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.6061326989162
